mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.0034479379653930666,0.00038314066024688404,0.0014478445053100586,0.00017719098292794108,0.01,scale,linear,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.8596491228070176,0.8947368421052632,0.9473684210526315,0.8947368421052632,0.8245614035087719,0.8947368421052632,0.8421052631578947,0.8421052631578947,0.8947368421052632,0.9285714285714286,0.8823308270676691,0.03751223358512254,16,0.884765625,0.884765625,0.87890625,0.88671875,0.8984375,0.88671875,0.890625,0.900390625,0.890625,0.8830409356725146,0.8884994060672515,0.006365927696836002
0.005946969985961914,0.0003761280229785651,0.0017513036727905273,0.00014648035667602676,0.01,scale,rbf,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.6140350877192983,0.6140350877192983,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.625,0.6274122807017544,0.006965956216784447,19,0.62890625,0.62890625,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.6276803118908382,0.6274164686890839,0.0007753271285927558
0.006455445289611816,7.975330976710614e-05,0.0017961025238037109,0.0001628324261207484,0.01,scale,sigmoid,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6140350877192983,0.6140350877192983,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.625,0.6274122807017544,0.006965956216784447,19,0.62890625,0.62890625,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.6276803118908382,0.6274164686890839,0.0007753271285927558
0.003593635559082031,0.00030096136969760373,0.0015772581100463867,0.0002574809886616171,0.01,auto,linear,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.8596491228070176,0.8947368421052632,0.9473684210526315,0.8947368421052632,0.8245614035087719,0.8947368421052632,0.8421052631578947,0.8421052631578947,0.8947368421052632,0.9285714285714286,0.8823308270676691,0.03751223358512254,16,0.884765625,0.884765625,0.87890625,0.88671875,0.8984375,0.88671875,0.890625,0.900390625,0.890625,0.8830409356725146,0.8884994060672515,0.006365927696836002
0.006127190589904785,0.0006245087587690149,0.0017501354217529298,0.00020028393003603662,0.01,auto,rbf,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.6140350877192983,0.6140350877192983,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.625,0.6274122807017544,0.006965956216784447,19,0.62890625,0.62890625,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.6276803118908382,0.6274164686890839,0.0007753271285927558
0.004290461540222168,0.00014664352336385503,0.0014905452728271485,0.00016491035165077736,0.01,auto,sigmoid,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6140350877192983,0.6140350877192983,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.625,0.6274122807017544,0.006965956216784447,19,0.62890625,0.62890625,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.6276803118908382,0.6274164686890839,0.0007753271285927558
0.0038238286972045897,0.00031053159229556504,0.0013641357421875,0.0001030033493625392,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8596491228070176,0.9122807017543859,0.9649122807017544,0.9122807017543859,0.8596491228070176,0.8947368421052632,0.8421052631578947,0.8421052631578947,0.8947368421052632,0.9285714285714286,0.8911027568922305,0.038151463915632206,14,0.8984375,0.892578125,0.88671875,0.896484375,0.8984375,0.8984375,0.900390625,0.900390625,0.89453125,0.8927875243664717,0.8959193774366472,0.004085058996285088
0.004982447624206543,0.00013403829964933183,0.0014448881149291993,1.7501304140656677e-05,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8596491228070176,0.8596491228070176,0.8421052631578947,0.8947368421052632,0.8245614035087719,0.8771929824561403,0.8070175438596491,0.8596491228070176,0.8421052631578947,0.8571428571428571,0.8523809523809524,0.023735539981046265,18,0.857421875,0.85546875,0.859375,0.853515625,0.85546875,0.853515625,0.86328125,0.85546875,0.849609375,0.8576998050682261,0.8560824805068226,0.00351114323073568
0.006355118751525879,0.0002583944669675938,0.001692342758178711,0.0002052897440203063,0.1,scale,sigmoid,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6140350877192983,0.6140350877192983,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.625,0.6274122807017544,0.006965956216784447,19,0.62890625,0.62890625,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.626953125,0.6276803118908382,0.6274164686890839,0.0007753271285927558
0.0037175655364990235,0.0003140804090909943,0.0014333486557006835,0.0003245571800963624,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.8596491228070176,0.9122807017543859,0.9649122807017544,0.9122807017543859,0.8596491228070176,0.8947368421052632,0.8421052631578947,0.8421052631578947,0.8947368421052632,0.9285714285714286,0.8911027568922305,0.038151463915632206,14,0.8984375,0.892578125,0.88671875,0.896484375,0.8984375,0.8984375,0.900390625,0.900390625,0.89453125,0.8927875243664717,0.8959193774366472,0.004085058996285088
